id,name,artist_id,monthly_listeners,album_id
1269,Management could indicate,139,1400298,25
1270,Himself discussion,312,1663805,569
1271,Science sing,435,783409,32
1272,Write smile,149,1585690,831
1273,Network for away,99,1718826,12
1274,Student candidate,76,345572,319
1275,Century through,282,1559859,845
1276,Shake indeed take,371,651332,604
1277,Suggest forward,403,714391,1
1278,Material hundred old,109,1562232,435
1279,Resource service professor,188,506350,838
1280,Real person,199,338164,136
1281,Happen growth,303,1579359,196
1282,Why pull law,327,1078057,133
1283,Cause himself present,154,667627,985
1284,Popular most yeah,40,905329,86
1285,Treat,133,762062,476
1286,Get particular,405,138815,807
1287,Good current home,462,628763,791
1288,Season like size,132,705133,324
1289,It during as,279,320186,180
1290,Wrong see edge I,362,50476,516
1291,Trip approach,84,1046471,638
1292,Few eight,399,1797041,175
1293,Various his product,242,291696,763
1294,Out focus decade,116,721602,21
1295,Face now speech,109,1488564,997
1296,International specific,221,685308,952
1297,Control a growth,392,1256959,105
1298,Effect road politics continue,41,70093,578
1299,Skill,368,1642987,443
1300,Ten discover through,147,17535,775
1301,Public some,112,329634,49
1302,Best study evening,103,1620426,528
1303,Drop soon,46,1430762,145
1304,Music during far half,412,257323,340
1305,Big learn lose,494,1925088,762
1306,Parent teach wish which,475,259916,855
1307,Yeah ahead,324,714895,354
1308,Animal six,378,1279639,75
1309,Hot PM anything reason,271,42269,802
1310,Audience card,483,1130250,929
1311,Give center hear,421,829894,794
1312,Whom next part,385,921631,578
1313,Onto task,195,286291,637
1314,Model account that,367,439744,319
1315,Mr seat fear,280,1650959,87
1316,Sense card society,283,769460,553
1317,Final radio,40,1773867,982
1318,Suggest third young,447,91925,698
1319,Contain or left,189,591669,866
1320,Quite today,164,1673332,892
1321,Method lot left,482,1291906,847
1322,General or,477,1899757,778
1323,Account message,24,957176,783
1324,Size major,24,1063307,42
1325,Test yet,490,1436367,93
1326,Time crime,4,1541450,697
1327,Return lead yard war,323,1624888,727
1328,Cell dream accept,290,1690576,507
1329,Rock politics new house,441,1150697,529
1330,Development strong begin,433,266976,956
1331,Operation week enter,471,1606196,265
1332,Director easy during,181,13467,626
1333,Across project various,248,1090601,292
1334,Close choice,116,1193755,969
1335,Notice share director,279,1046851,464
1336,Yourself kind,365,78994,804
1337,Star magazine guess,69,95202,560
1338,Agency door,351,568769,819
1339,Game piece,254,1445373,97
1340,Student state,181,1648982,887
1341,Both account view,318,1435730,95
1342,Thousand make whatever leg,169,445854,326
1343,Hour participant,313,1697578,74
1344,Save system,249,1975498,336
1345,As over author general,188,749987,68
1346,Rule campaign,54,161185,758
1347,Relate ask,326,85363,918
1348,Natural drug,357,1959615,77
1349,Somebody you,313,326188,208
1350,Identify PM,138,212027,884
1351,What investment worker bad,168,979534,766
1352,Each both network,391,274958,221
1353,Condition manage,103,1411060,262
1354,Early country,422,273168,410
1355,Station defense social,85,1768224,331
1356,Lot kitchen agent,317,896668,344
1357,Police hotel alone,212,583124,989
1358,Next local,3,1319155,771
1359,Listen already almost,384,985588,820
1360,Outside deal amount,179,256095,74
1361,Structure sound wind cause,342,1906609,637
1362,Sing record debate,303,482632,700
1363,Any technology,452,1310752,254
1364,Computer area language major,476,1432591,959
1365,Pull,332,250717,833
1366,Too resource far,38,1708343,820
1367,Tree past,499,1934951,747
1368,Five writer,420,1082516,986
1369,Practice,239,530954,762
1370,Pay officer,169,1348842,332
1371,One,453,1954655,398
1372,Against activity executive,397,1205740,345
1373,Wall use base,343,917185,584
1374,Majority about speech certain,314,910834,747
1375,Bag Mr perform color,306,207717,836
1376,Line draw,30,1412910,668
1377,Scientist threat move,190,1412188,455
1378,Defense director,357,1965215,906
1379,Page table growth point,25,27505,115
1380,Audience,112,1610577,313
1381,Purpose or,411,448603,228
1382,Cell opportunity,435,830601,834
1383,Help front collection,206,1253930,858
1384,Loss enough road,185,1651375,245
1385,Effort participant art,382,970246,818
1386,Southern,496,1876530,526
1387,Become until,379,213204,528
1388,Bill care across,47,1300270,950
1389,Quickly operation order,374,250836,427
1390,Quite skin song,228,759849,42
1391,Top power exactly,39,1935405,465
1392,Activity share,16,529168,622
1393,Occur nation police,22,437670,278
1394,Mrs provide,213,974215,836
1395,Can stay,310,568827,19
1396,Determine miss writer,149,241056,66
1397,Next quickly,456,1268633,167
1398,Mention turn eat,241,1588663,585
1399,Simply Mrs,272,508800,403
1400,Television offer,59,1154419,912
1401,Economic let organization,287,444942,822
1402,The item,426,49784,409
1403,Exist,202,114034,112
1404,Cause nearly,32,435044,274
1405,Turn energy,443,1774462,407
1406,Bag possible meeting,162,1103938,373
1407,Picture perhaps,255,54997,597
1408,Important for who,254,182413,651
1409,Land recent,9,1461865,39
1410,Kid mother,465,1414119,105
1411,Responsibility respond us,139,801981,324
1412,Feel husband,480,844352,793
1413,That knowledge,10,741686,959
1414,Him seven few,214,1518307,992
1415,No item,273,785752,414
1416,Design huge build,324,1463108,429
1417,Huge land investment,48,158255,635
1418,Name phone raise,436,881292,730
1419,From family,111,549912,889
1420,Require dinner,153,1767451,61
1421,Treatment teacher,123,1808648,612
1422,Include hair,405,1528573,307
1423,Three yes save,357,571993,354
1424,Plan decision,102,1663190,393
1425,Bag assume cause,241,1469548,204
1426,National become,321,847822,258
1427,Dark case,191,69369,486
1428,Miss official,217,1251469,517
1429,Daughter matter unit,51,1321309,446
1430,Put would,292,1686876,709
1431,Summer guess air,81,1981196,180
1432,Along least trial,489,1909189,342
1433,Budget long,383,701146,133
1434,Education,88,751046,443
1435,We against,194,648999,836
1436,Pm live,104,77425,253
1437,Mission impact music,271,1997366,265
1438,Court,96,497297,93
1439,Short happy party,423,1589858,662
1440,Cold decade,379,1019543,411
1441,Eye Mrs,198,112915,138
1442,Contain rather before,1,386105,208
1443,Tax however drive,495,484414,637
1444,Similar serious keep chance,407,1154248,746
1445,I century window someone,378,814071,573
1446,Soon sit,167,1328925,307
1447,Investment reason section high,126,319821,266
1448,Which way affect,313,33930,646
1449,Skin despite political across,81,1122889,318
1450,Coach Mr million,418,750211,113
1451,Stuff,251,1162729,901
1452,Past gas,169,1535301,378
1453,Thousand Mr,477,1854324,454
1454,Offer son,73,1994384,191
1455,Industry increase,141,233911,891
1456,Tonight,70,1145634,440
1457,Notice say time,262,88876,187
1458,Measure it,340,610654,831
1459,Cold already return,308,538691,367
1460,Require marriage,245,1391772,89
1461,Rich community entire,3,773838,187
1462,Long wind,337,262420,819
1463,Recently Democrat,63,478843,946
1464,Want,49,336639,132
1465,Least international,76,164004,872
1466,Manage sometimes,368,359234,635
1467,Also woman nothing total,175,1348421,560
1468,Threat fast return,109,397601,800
1469,Bring east,183,1826260,376
1470,Operation pick no,192,582529,691
1471,Better,65,666727,692
1472,Party include tax suggest,337,66030,99
1473,Either because technology buy,451,1751441,842
1474,Dog view,474,1213980,34
1475,Have later evening,271,1003682,932
1476,As travel,100,1256973,582
1477,Less technology plant,32,480702,171
1478,Strategy,352,1468355,366
1479,Short quite if,128,106185,784
1480,Spend strategy left,452,1085980,59
1481,Beautiful take,402,56182,181
1482,Tv win,369,1344711,19
1483,Growth current,339,1678465,226
1484,Word see firm,43,704023,473
1485,Because day if,372,853318,95
1486,Return realize,419,1695866,881
1487,Base career,488,346992,297
1488,Until management three final,78,942631,593
1489,Both after sport,314,845124,175
1490,Until admit,289,1275037,222
1491,Half fund life teacher,270,1873508,615
1492,Bed alone really,162,821217,54
1493,Join me put,189,609434,695
1494,Quite capital exist,247,1007630,863
1495,Provide wife our real,388,489195,403
1496,Such crime,216,573285,318
1497,Nice seek,315,1581034,867
1498,Chair,413,145375,349
1499,Daughter instead red,339,1383463,443
1500,Main follow indeed,390,1520644,833
1501,Training herself,377,36187,580
1502,Upon cost east,481,1769970,540
1503,Green enter follow,433,990280,786
1504,Cup outside,168,658253,282
1505,Idea continue those,339,1718689,360
1506,Beautiful west,193,1087666,915
1507,Final very,453,983426,823
1508,Whether stage,283,1519560,631
1509,Federal probably remain,336,1895420,892
1510,Moment both situation,390,778766,953
1511,Require only,488,1367750,646
1512,Life,13,542797,641
1513,Available yourself always,240,69653,8
1514,Thus Mr clearly,320,693289,993
1515,Son break into,446,1441346,563
1516,Official lose first,483,267186,491
1517,Above week spring,147,1243222,341
1518,Prepare man night apply,204,1348921,472
1519,Show within she,80,1797218,793
1520,Vote think,379,1587880,687
1521,World,43,288166,695
1522,Chance main very,458,1805898,704
1523,Pick if,89,553226,249
1524,Movie before,148,1224326,235
1525,Measure happen source,95,905603,83
1526,Prevent better seek,452,261710,93
1527,Painting receive,428,1281896,885
1528,Box population light,151,849152,394
1529,What small adult,2,1417234,824
1530,Lead memory,376,713165,268
1531,Number,22,1706922,417
1532,Administration or,371,1126054,632
1533,Yeah sure assume,313,1454953,583
1534,Question save,485,939193,529
1535,Could close low reach,328,1176677,253
1536,Medical property involve sign,7,1406419,957
1537,Control education,206,1765860,122
1538,Fact happy,440,1544103,892
1539,Professor well young,375,1410993,10
1540,Keep interest race,451,1779244,799
1541,Human available security piece,114,1806064,316
1542,Federal fact,272,589033,838
1543,Nor police,83,1045385,273
1544,Lead near,179,1181859,306
1545,Carry yet,210,394445,805
1546,Prepare large,500,1430692,210
1547,Price fight maybe,464,442758,958
1548,Defense expert approach,328,1981425,730
1549,He sell receive,124,1151065,753
1550,Seat beat miss,481,557107,886
1551,Her whether,113,48779,464
1552,Enter,12,1787357,712
1553,Development than,126,1403964,728
1554,Should size shake,53,590872,717
1555,These wonder second,331,1462742,925
1556,Blue difficult,389,1720109,416
1557,Suggest player,283,1298391,216
1558,Act,140,845464,80
1559,Entire public,401,378218,779
1560,Hand little,390,1410993,480
1561,Not question,97,815468,902
1562,Contain,5,1304533,891
1563,Hospital work sign event,57,1645220,547
1564,Subject least,412,146364,801
1565,Special with only,334,528340,18
1566,Eight open throw,69,1356097,165
1567,Now decision,118,1248486,525
1568,Three popular,376,330963,202
1569,Ground,59,1949697,741
1570,Person finish,33,1026607,346
1571,Color enough true,318,1196268,366
1572,Plant these never,50,1080037,977
1573,Someone,368,1856758,448
1574,Or commercial tax,489,1016930,513
1575,Exactly must thing check,19,1059048,319
1576,Would eight,214,856695,217
1577,Within several several,197,113036,34
1578,Hand single,379,189674,871
1579,Perhaps learn hotel,450,288667,266
1580,Daughter single,478,1735702,640
1581,Where consumer,47,890694,724
1582,Cut coach,167,591348,775
1583,Mention part author,452,1320799,824
1584,Chair trip,289,664759,80
1585,Staff not player,141,1372446,677
1586,Score within,84,1404626,413
1587,Policy admit itself teach,182,1328252,252
1588,Author live main,391,910121,12
1589,Reflect government,79,1525149,401
1590,Fish southern,215,44162,816
1591,Do by,14,1970829,724
1592,Heart today form,215,274497,282
1593,Around increase understand,403,113313,112
1594,Board watch born,128,29477,723
1595,International music,310,1729506,378
1596,Behavior kid,477,87373,751
1597,Financial check before,248,1978517,268
1598,Challenge could everyone,404,694464,917
1599,Pm place,29,719730,298
1600,Daughter deep bad nothing,280,1578415,317
1601,Skill job,338,69359,570
1602,Minute bill,319,1497672,509
1603,Contain particular,202,1193564,950
1604,Fight probably teacher,361,1175726,546
1605,Sea easy even,57,474919,775
1606,Leg anyone for month,392,1746381,365
1607,Behind conference physical,218,1359356,547
1608,Address agent site,62,1516719,271
1609,Voice east,157,817117,961
1610,Edge increase,202,838566,474
1611,Stock performance show,17,352060,739
1612,Morning child,322,1157543,537
1613,Discussion rule point,6,95455,234
1614,Reveal word fine represent,58,1832699,59
1615,Food detail century,325,1510639,251
1616,Course,412,1224981,847
1617,Hour concern middle,318,240646,86
1618,Million,169,190937,763
1619,Threat others,453,473312,390
1620,Product moment cold,82,837188,180
1621,Different money,474,386007,719
1622,List,468,62192,856
1623,Fund,425,192758,149
1624,Along total office,433,836165,583
1625,Share piece,219,1284737,121
1626,Left south bad,177,813425,765
1627,Ever good,204,1735428,605
1628,Process program figure hope,71,1725917,256
1629,Institution hair rise week,387,287287,766
1630,Move air,266,1048635,864
1631,Resource address,98,716637,800
1632,Country large,345,1156620,309
1633,Also final,291,1554749,59
1634,Great deep clearly get,208,182062,69
1635,Responsibility crime some,2,1702270,446
1636,Nice manage section,124,457104,388
1637,War book more,280,70351,86
1638,Over apply,74,1540164,786
1639,Among theory able beautiful,166,1754935,227
1640,Us add hair green,22,235085,593
1641,Program center strong,154,759171,626
1642,Building upon board physical,427,499095,184
1643,Call culture,439,71309,792
1644,Somebody anyone,295,930950,322
1645,Sit prove moment,219,687093,909
1646,Dinner they financial,157,1168732,318
1647,May ahead,495,339144,566
1648,Case involve join,230,1491424,399
1649,Agreement figure,20,22576,709
1650,Himself during Mrs,475,1577184,899
1651,Now fire certain,41,667110,293
1652,Deep religious,438,628290,293
1653,Book figure standard,148,1234111,485
1654,Surface stuff north,108,1076148,899
1655,Center level affect,403,1036865,447
1656,Others such,84,1329668,803
1657,Woman well,483,1569690,692
1658,Catch foreign,367,641816,983
1659,Each nor technology son,322,695186,892
1660,Approach finally suffer,414,90051,412
1661,Herself PM boy,309,815299,508
1662,Sit hundred movement,290,1240879,734
1663,I per to,406,1796292,786
1664,Star American example,323,1831276,890
1665,Agreement how,134,204305,244
1666,Executive news clear,207,1356398,420
1667,Guess century,283,1943569,929
1668,Start different research,266,1848971,960
1669,Energy article,73,458576,154
1670,Early force,481,574722,816
1671,Bring detail,352,67617,424
1672,Product defense,48,1987349,273
1673,Through force quality accept,326,642857,936
1674,Majority six land,233,1781248,647
1675,Speech sound,443,1933360,825
1676,Recent sea,100,867164,520
1677,Country stay,59,511874,128
1678,Win stand over,258,1419368,373
1679,Tough factor any,413,1131070,568
1680,Religious ground another,452,1793841,638
1681,Choose anyone organization,65,602513,159
1682,National child,83,83867,571
1683,Certainly,154,169600,570
1684,Among business,473,780957,652
1685,Recently involve,266,1914980,176
1686,Worry matter,309,1508394,927
1687,Rule campaign white perform,79,883693,620
1688,Natural act,315,616036,211
1689,Hold beyond rest gun,150,255265,447
1690,Pick wide style,435,520493,586
1691,Spend town those,48,165404,167
1692,Peace compare,405,911913,460
1693,Ball affect summer,379,654817,916
1694,Sit run,248,997433,357
1695,Though hope,278,485353,304
1696,Leader find,356,265395,233
1697,Until hard,98,1935116,327
1698,Affect cold,414,683387,884
1699,Peace exist stuff friend,25,1146958,182
1700,Hit hit,493,480767,634
1701,Doctor skin especially,284,10583,334
1702,Since far truth,449,575675,715
1703,Even,369,1334824,967
1704,Poor section,301,537512,29
1705,Finish free,68,848056,714
1706,Billion happy,7,1498850,93
1707,Check explain certain,305,1940328,841
1708,Suffer,137,1277020,868
1709,Tree work claim,164,947803,688
1710,Next before,83,1390292,330
1711,Positive improve everybody,385,872901,723
1712,Newspaper land arm,138,1913936,184
1713,East focus,420,1516266,95
1714,Moment page career,73,1315861,785
1715,Style process,237,679710,649
1716,Cut wind,46,469298,749
1717,Smile,106,1906879,353
1718,Tv add quite,416,137149,930
1719,Could evidence,288,571303,941
1720,Ok consumer call it,262,989651,984
1721,Style against week could,176,977684,265
1722,Attention film structure tonight,166,1221505,647
1723,Run attack,145,757556,656
1724,Mention create,330,1240488,19
1725,Citizen fight,370,847334,743
1726,Current,283,1055153,646
1727,Likely serious feel,54,807434,626
1728,Garden music,178,51711,499
1729,Daughter expect,419,564739,139
1730,Less,244,494027,637
1731,What degree,341,705463,716
1732,We serve,127,422863,573
1733,Necessary field sell,409,560119,762
1734,Catch attention enough,412,1298978,810
1735,Vote,367,1805240,525
1736,House away style our,271,1932506,908
1737,Certain hotel stock,132,1964957,255
1738,Name what,93,245942,85
1739,Lay across,379,96119,458
1740,Every within,73,854262,532
1741,Our without wide,411,1392352,562
1742,See experience operation arrive,410,824265,676
1743,Practice hold,403,1817330,92
1744,Heart act cut song,248,749224,600
1745,Data rise,348,1860406,69
1746,Fall international,273,1043137,37
1747,Even any,43,1635418,765
1748,Should figure office,377,51755,764
1749,Many figure large experience,41,936210,140
1750,At history,170,1202988,867
1751,Language bar,434,852426,893
1752,Site first,212,1637748,680
1753,Seat glass,493,871793,566
1754,Toward,168,1591346,898
1755,Cultural,39,1103801,178
1756,Serious civil buy,369,190921,809
1757,Myself production,245,1648718,813
1758,Ten offer,151,1615120,871
1759,Give wonder beyond,111,241617,618
1760,Wide young friend similar,480,1158297,137
1761,Arrive civil remain,436,606398,190
1762,Still,47,114606,640
1763,Partner Congress find,63,1588514,342
1764,Walk leave positive,225,1226766,559
1765,Always medical leg,366,1078506,5
1766,Not million sport,69,742067,972
1767,Doctor amount send,299,261102,257
1768,Significant might,432,1412120,812
1769,Decade,290,1323521,662
1770,Magazine west,296,1625224,806
1771,First current,203,1923916,243
1772,Former standard own,61,148631,787
1773,Culture apply move,434,1344054,720
1774,Miss carry,451,237545,415
1775,Agency now including,318,1062864,627
1776,Number pay,314,1727334,707
1777,Require on,161,1256878,343
1778,Red food,331,1848199,682
1779,Local,16,281195,379
1780,Cell own military possible,338,1111291,594
1781,Off bring similar,94,1060313,666
1782,Nature floor,304,1639004,653
1783,Eye,138,1730187,826
1784,Yet economic,338,1231623,146
1785,Assume effort new,38,268291,323
1786,Miss purpose shake,127,1624372,122
1787,Too authority,275,1363944,252
1788,Reality design,164,1331363,855
1789,Particularly general foreign,443,1350687,899
1790,Forget whom walk sign,319,1017354,311
1791,Four off,77,104535,601
1792,Expert military from,174,1876741,475
1793,Finally,387,1048861,570
1794,Cost movement,458,1002507,492
1795,Medical personal career,358,1346528,575
1796,Term floor change,321,1562014,347
1797,One fact,376,723648,820
1798,Any kid,91,584247,487
1799,Lay owner some,238,396065,473
1800,Recognize current people,264,331322,382
1801,Fall herself,179,723496,280
1802,Perhaps out tough,494,1241388,72
1803,Stop determine take,490,1161831,521
1804,Industry single,209,611610,366
1805,Business example contain,73,1880573,933
1806,Skin the,390,938687,94
1807,Test tree,107,1558098,373
1808,So one,345,1050708,339
1809,Remember identify describe,295,1743195,437
1810,Age ago manager,369,752972,336
1811,Measure two,444,1899676,664
1812,Together option throughout,284,260427,492
1813,Hospital rather,353,1481355,917
1814,Approach consider more,182,1535019,868
1815,Four boy,37,1682699,40
1816,Ahead region,137,143003,359
1817,Talk conference recognize,338,783516,574
1818,Picture indicate,56,1647033,254
1819,Standard police,187,261529,966
1820,Again country,341,444855,581
1821,Indeed long,258,254608,398
1822,Word door theory,445,759673,757
1823,Join certain course finally,58,715261,877
1824,Authority thought,363,1674281,170
1825,Though cause coach,123,1574908,690
1826,Once exist,188,178763,701
1827,Father health point,230,232807,511
1828,Central past information,168,25363,260
1829,Yet article save,420,1358414,584
1830,Option understand father,114,395798,984
1831,Join,252,985348,459
1832,Ball paper,107,1857309,529
1833,Fall research,37,1386049,882
1834,Least happy,335,2620,341
1835,Form either,92,1373944,57
1836,Successful since,18,1499447,218
1837,Arm also,354,1144995,619
1838,Strong respond husband,63,693894,816
1839,Sometimes guy,150,1956058,940
1840,Enough lead that,139,1546288,685
1841,Institution reality,186,1776565,731
1842,Former clearly,185,1891864,464
1843,Explain foot,205,181324,247
1844,Politics today site,260,1367529,730
1845,Television pretty recognize,214,1596123,373
1846,Account find as,256,21655,417
1847,Dream majority,135,950133,31
1848,Physical you environment health,61,1990690,368
1849,Media base,363,451400,559
1850,State or,310,1071178,646
1851,Line field quality,88,873377,108
1852,Where base fast,324,667470,584
1853,Light him,476,1973153,839
1854,Someone current,207,1936854,418
1855,Same defense,129,1392538,620
1856,Seven federal how,311,928699,821
1857,Region case,3,526825,398
1858,Though significant,462,411354,272
1859,Modern market,422,1830074,683
1860,Low morning never,242,702562,116
1861,Son want,121,172236,841
1862,Rule tax,385,913977,586
1863,Situation,102,90743,256
1864,Same upon answer,38,448875,81
1865,Herself return blood among,341,1135731,780
1866,Top large,496,1956206,128
1867,Enjoy than,413,1991925,838
1868,Parent,133,1139422,915
1869,Race piece,497,759795,235
1870,Together point,202,1342282,553
1871,Good cell skin scene,348,815468,181
1872,Wrong minute,21,1765688,157
1873,She outside,242,861665,454
1874,Price both message,455,608337,571
1875,Able expect score,451,240647,857
1876,Cold picture easy class,109,1380401,761
1877,Catch month at,303,290962,704
1878,Security way picture just,84,1997624,24
1879,Fund perform,83,849964,473
1880,Else approach,291,997140,400
1881,With plant yes,452,320849,948
1882,Along measure leader,69,545392,592
1883,Mother,129,387480,134
1884,Arm today kitchen,196,1701768,421
1885,Walk without,140,1905611,213
1886,Suddenly president end,444,1676363,900
1887,Ahead director thing,283,846457,482
1888,Because place,312,1801200,348
1889,Life I report,234,1868325,166
1890,Rest,23,425632,937
1891,Reveal position,153,1222660,348
1892,Up small room,277,1573732,849
1893,Gas yes,61,1941593,398
1894,Outside who religious,319,1510837,583
1895,Plan camera member,378,1726336,726
1896,Responsibility visit,52,1359990,435
1897,You event region room,344,1252717,577
1898,Name art,153,644703,221
1899,Value big,237,1492625,308
1900,Old school,311,1244292,991
1901,Model effect,302,1654070,798
1902,Note happen show,32,1381188,697
1903,Production understand woman,55,1031403,719
1904,Kid,352,1240121,466
1905,Police son,389,964313,99
1906,Will property,36,432544,242
1907,Rate eight check,110,1479576,158
1908,Million generation leave,490,1073299,610
1909,High section change,177,848078,554
1910,Across modern,362,722615,651
1911,Chair safe,314,1573938,795
1912,Effect look deal,295,1829109,920
1913,Such,336,1338218,227
1914,Citizen blood,97,1770458,423
1915,Down let forward,369,1670745,72
1916,Safe miss above arrive,213,1463333,243
1917,Thing everything,317,571217,530
1918,Black traditional require ahead,137,124199,589
1919,Decide whatever effect,6,1281101,45
1920,Protect chair story billion,499,1337748,472
1921,Happy citizen always,109,30545,371
1922,Stock home evidence,35,1653433,855
1923,Long similar garden,39,32673,652
1924,Live collection,150,425190,689
1925,There garden,425,453115,734
1926,Once among responsibility,118,1465889,927
1927,Attention sure statement,261,889943,92
1928,Star process crime,426,1404864,22
1929,Tell minute,87,1376544,172
1930,Machine pass,465,24525,604
1931,Year sure,76,583092,192
1932,Exist few relationship,471,147115,77
1933,Lawyer they attack,464,567134,281
1934,Term when,451,1126837,364
1935,War air,414,758600,179
1936,Away,313,501827,238
1937,Financial,383,1233676,135
1938,Check give realize,214,1865491,877
1939,Perhaps purpose,457,8265,902
1940,None mouth often,285,810195,280
1941,Collection if,239,1256300,19
1942,Federal course,165,16733,595
1943,Ok land,87,899628,740
1944,Site,141,1664902,371
1945,Perhaps common somebody,160,300564,777
1946,Else personal mind,46,1027281,112
1947,Recently experience political,372,665607,763
1948,Soldier bring,495,1990920,676
1949,Clearly kind TV,112,459365,870
1950,Lot page,407,1070634,680
1951,Upon event catch artist,45,247301,221
1952,Throughout capital,401,1346649,920
1953,Receive,247,1002675,304
1954,Tv something my,104,163434,703
1955,Me,85,611777,325
1956,Thought especially,450,1658528,437
1957,Forget education new,485,1752292,438
1958,Ability he,134,78597,170
1959,Dark generation,108,1046384,375
1960,Fact expert job,18,1842049,557
1961,Six star team,94,79209,381
1962,Near find,150,1831973,986
1963,Agree often,246,1242517,14
1964,Billion activity,289,1725995,743
1965,Camera sea,414,625152,669
1966,Act how make,209,149620,500
1967,Nice side year,126,1457870,646
1968,Require let,235,1448211,391
1969,Issue there do,416,167562,549
1970,Street,426,208158,565
1971,Increase research serve,499,640446,530
1972,Significant past,462,977264,983
1973,Attorney candidate,122,1997417,492
1974,Born idea inside,138,1051044,550
1975,Wall speak,495,287453,699
1976,Hit this,115,1008787,385
1977,Team turn,420,1121831,196
1978,Raise newspaper sea,162,1831942,755
1979,Including action produce father,201,869331,300
1980,Work data event,234,1602582,815
1981,Morning lead future,28,226409,547
1982,Relationship at day similar,11,240967,727
1983,Condition family indeed,206,694201,731
1984,Identify follow,167,992052,828
1985,Example culture gas,247,739925,602
1986,Customer every,47,965164,308
1987,Her hot detail,246,369697,252
1988,Put leg enter,127,837713,8
1989,Watch floor discover east,147,376595,768
1990,Lay suddenly,118,1296689,875
1991,Between,399,1836775,208
1992,Politics rock event,382,1446687,937
1993,Kitchen lose player service,412,583314,131
1994,Trade,152,1954150,736
1995,Determine available Mrs,72,1616832,709
1996,Space first,363,1745033,980
1997,Class bed term too,137,409548,654
1998,Position nation throughout,175,146693,764
1999,Red democratic,289,1650734,608
2000,Whatever fish,446,1592038,26
2001,Drive pattern performance,481,911789,623
2002,Agreement possible alone population,19,886621,454
2003,Allow old reach,195,565790,635
2004,We choice discuss,330,299818,186
2005,Adult painting choose,424,562548,484
2006,Operation brother enter cup,175,961002,680
2007,Usually up,490,1772545,51
2008,Thank here one,449,705824,891
2009,Tree cultural may,413,597093,5
2010,Final,434,196991,589
2011,You soon friend,354,1833500,160
2012,Morning baby case,499,186541,208
2013,Rock tree,141,18194,257
2014,Culture per,246,683171,205
2015,Keep beat,385,859809,767
2016,True manage sort,418,1704728,950
2017,Program,93,1568529,11
2018,Size foot this,432,569011,949
2019,Television share heart,239,1280984,8
2020,Police western product,205,469451,409
2021,Approach free,48,1291689,936
2022,Memory ago,433,1125874,32
2023,Ground in answer,245,584526,984
2024,Possible including or,320,260425,540
2025,Position window,317,1679297,718
2026,Raise around light relationship,413,511609,387
2027,Tough air image,295,1156668,228
2028,For,128,1313867,640
2029,Statement,344,1279567,767
2030,Current region sometimes,282,301589,475
2031,Born then couple,17,710163,724
2032,High early for,71,1241756,751
2033,Investment return model,269,631458,207
2034,Who start listen any,325,1969093,318
2035,Take answer born,282,348761,795
2036,Hard her physical,305,214482,757
2037,Leave,451,840934,557
2038,Sister keep bring,7,1690980,617
2039,Special not air,314,825187,348
2040,Knowledge my stop they,305,1713669,793
2041,Discuss perhaps,103,796911,234
2042,Situation detail itself current,309,600649,701
2043,Throw instead side,193,1726240,44
2044,Behind everybody,241,429910,737
2045,Movement sport professor,62,1173808,942
2046,Truth attack,17,1941594,142
2047,Hot section,171,82171,648
2048,Thing there,25,377295,176
2049,Discuss increase,251,87296,654
2050,Dream job,253,1190138,449
2051,Left out huge,387,153324,592
2052,Provide drop on,207,499506,82
2053,School charge,29,663222,135
2054,Foreign tend,117,242535,719
2055,Paper shoulder administration,491,1381679,856
2056,Head degree eight,416,1453242,177
2057,Chair stay event,282,1367742,383
2058,Member,380,784258,243
2059,Improve pattern trial,144,1897999,567
2060,Woman hard,25,1221575,141
2061,Affect worker,310,756737,457
2062,Plan everybody goal,156,1006594,440
2063,Agree yet,73,1361573,56
2064,Position take worry,120,1081402,527
2065,Dream relate board state,312,1878887,697
2066,Clearly represent trial,321,1762201,826
2067,Project fish,93,597649,419
2068,Response smile door,86,241028,88
2069,In draw very,336,1389710,609
2070,Money reality,425,1401507,656
2071,Pretty seat system,499,1266832,8
2072,Able pick,364,41736,477
2073,Morning thought as,435,1336250,215
2074,Police base management,118,210124,685
2075,Peace,233,1227706,735
2076,Have,199,631368,552
2077,High effect peace,206,468310,497
2078,Operation,413,1385975,694
2079,Military chair try,339,661246,503
2080,Risk common mouth,147,389742,782
2081,Tell face she,450,225793,699
2082,Set nice place support,425,643911,245
2083,Eat,429,1349107,478
2084,Exist learn,271,677935,309
2085,Raise discuss,387,1686124,231
2086,Its region,139,1027153,383
2087,Box type staff,181,433859,155
2088,Painting level rich,430,1977180,175
2089,Ability,30,1503148,848
2090,Indicate scientist,57,402072,115
2091,Successful dark because,232,432385,390
2092,Pm,146,1995884,311
2093,And rich,435,692150,993
2094,Heart deep word,384,1342708,300
2095,Camera new thus,48,1552771,18
2096,Line life,194,1388168,784
2097,Dark dream,224,957010,12
2098,Itself stuff rock,136,1425150,404
2099,Conference require heart black,22,744264,813
2100,Half across field,6,461522,704
2101,Can challenge according,204,1979385,232
2102,Though rather,239,666329,955
2103,Arrive deep,185,275548,605
2104,Fish,360,1451781,990
2105,Significant,292,459521,730
2106,Another,335,1478775,278
2107,I food his,220,1815220,353
2108,National election everyone,116,171534,999
2109,Student only short,313,282504,303
2110,Teach break perhaps,49,873089,541
